Symbol,Name,Country,IPOYear,Sector,Industry,MarketCap,MarketCapDate
NVAX,Novavax Inc. Common Stock,United States,NULL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3253532349,2022-06-09
NVDA,NVIDIA Corporation Common Stock,United States,1999,Technology,Semiconductors,464025000000,2022-06-09
NVS,Novartis AG Common Stock,Switzerland,NULL,Health Care,Biotechnology: Pharmaceutical Preparations,193248484000,2022-06-09
NXPI,NXP Semiconductors N.V. Common Stock,Netherlands,2010,Technology,Semiconductors,49658878733,2022-06-09
O,Realty Income Corporation Common Stock,United States,NULL,Real Estate,Real Estate Investment Trusts,40418382189,2022-06-09
OAS,Oasis Petroleum Inc. Common Stock,United States,NULL,Energy,Oil & Gas Production,3489409128,2022-06-09
ODFL,Old Dominion Freight Line Inc. Common Stock,United States,1991,Industrials,Trucking Freight/Courier Services,29164788910,2022-06-09
OKTA,Okta Inc. Class A Common Stock,United States,2017,Technology,EDP Services,15368345748,2022-06-09
OLLI,Ollie's Bargain Outlet Holdings Inc. Common Stock,United States,2015,Consumer Discretionary,Department/Specialty Retail Stores,3568765225,2022-06-09
ON,ON Semiconductor Corporation Common Stock,United States,NULL,Technology,Semiconductors,27906126206,2022-06-09
ORCL,Oracle Corporation Common Stock,United States,1986,Technology,Computer Software: Prepackaged Software,188852152460,2022-06-09
ORLY,O'Reilly Automotive Inc. Common Stock,United States,1993,Consumer Discretionary,Auto & Home Supply Stores,41512841369,2022-06-09
OVV,Ovintiv Inc. (DE),Canada,NULL,Energy,Oil & Gas Production,15611956053,2022-06-09
OXY,Occidental Petroleum Corporation Common Stock,United States,NULL,Energy,Oil & Gas Production,62932374441,2022-06-09
PAGS,PagSeguro Digital Ltd. Class A Common Shares,Cayman Islands,2018,Technology,EDP Services,4561360593,2022-06-09
PANW,Palo Alto Networks Inc. Common Stock,United States,NULL,Technology,EDP Services,52197984467,2022-06-09
PARA,Paramount Global Class B Common Stock,United States,NULL,Consumer Discretionary,Movies/Entertainment,19190656815,2022-06-09
PATH,UiPath Inc. Class A Common Stock,NULL,2021,Technology,Computer Software: Prepackaged Software,11531981351,2022-06-09
PAYC,Paycom Software Inc. Common Stock,NULL,2014,Technology,Computer Software: Prepackaged Software,18743211469,2022-06-09
PBF,PBF Energy Inc. Class A Common Stock,United States,2012,Energy,Integrated oil Companies,5087441972,2022-06-09
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,Brazil,NULL,Energy,Oil & Gas Production,89352778631,2022-06-09
PCG,Pacific Gas & Electric Co. Common Stock,United States,NULL,Utilities,Power Generation,23581410915,2022-06-09
PDCE,PDC Energy Inc. Common Stock (Delaware),United States,NULL,Energy,Oil & Gas Production,8623821794,2022-06-09
PDD,Pinduoduo Inc. American Depositary Shares,China,2018,Consumer Discretionary,Catalog/Specialty Distribution,73024594313,2022-06-09
PEAK,Healthpeak Properties Inc. Common Stock,United States,NULL,Real Estate,Real Estate Investment Trusts,14473620629,2022-06-09
PENN,Penn National Gaming Inc. Common Stock,United States,1994,Consumer Discretionary,Movies/Entertainment,5646274983,2022-06-09
PEP,PepsiCo Inc. Common Stock,United States,NULL,Consumer Staples,Beverages (Production/Distribution),229511643958,2022-06-09
PFE,Pfizer Inc. Common Stock,United States,NULL,Health Care,Biotechnology: Pharmaceutical Preparations,295133119133,2022-06-09
